Machine_ID,value_ISO,value_DEMO,value_ACC,value_P2P,valueTEMP,minute,second,year,month,day,hour
1,0.357421905,0.000335693,0.012695313,0.043212894,25.0,38,58,2022,12,7,12
1,0.357421905,0.000335693,0.012695313,0.043212894,25.0,39,3,2022,12,7,12
1,0.357421905,0.000337601,0.012695313,0.043212894,25.0,39,8,2022,12,7,12
1,0.357421905,0.000337601,0.012695313,0.043212894,25.0,39,13,2022,12,7,12
1,0.357421905,0.000337601,0.012695313,0.043212894,25.0,39,18,2022,12,7,12
1,0.357421905,0.000337601,0.012695313,0.043212894,25.0,39,23,2022,12,7,12
1,0.357421905,0.000337601,0.012695313,0.043212894,25.0,39,28,2022,12,7,12
1,0.357421905,0.000337601,0.012695313,0.043212894,25.0,39,33,2022,12,7,12
1,0.357421905,0.000339508,0.012756349,0.043457035,25.0,39,38,2022,12,7,12
1,0.357421905,0.000339508,0.012756349,0.043457035,25.0,39,43,2022,12,7,12
1,0.357421905,0.000339508,0.012756349,0.043457035,25.0,39,48,2022,12,7,12
1,0.357421905,0.000339508,0.012756349,0.043457035,25.0,39,53,2022,12,7,12
1,0.357421905,0.000339508,0.012756349,0.043457035,25.0,39,58,2022,12,7,12
1,0.357421905,0.000339508,0.012756349,0.043457035,25.0,40,3,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043457035,25.0,40,8,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043457035,25.0,40,13,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043457035,25.0,40,18,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043457035,25.0,40,23,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043457035,25.0,40,28,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043457035,25.0,40,33,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043212894,25.0,40,38,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043212894,25.0,40,43,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043212894,25.0,40,48,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043212894,25.0,40,53,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043212894,25.0,40,58,2022,12,7,12
1,0.35937503,0.000337601,0.012756349,0.043212894,25.0,41,4,2022,12,7,12
1,0.35937503,0.000362396,0.012756349,0.043457035,25.0,41,9,2022,12,7,12
1,0.35937503,0.000362396,0.012756349,0.043457035,25.0,41,14,2022,12,7,12
1,0.35937503,0.000362396,0.012756349,0.043457035,25.0,41,19,2022,12,7,12
